UserName,Description,Total Like,Total Comments,Toatal Shares
juankatelynturrubiartes,@ nfl come get your boy  #repost #fyp,155.7K,4299,11.2K
khaby.lame,Bro why you ruined a T-shirt ?It was so easy.... - Fratello perché hai rovinato una T-Shirt? #learnfromkhaby #LearnWithTikTok #ImparaConTikTok,19.2M,137.1K,138.4K
laronhinesofficial,are you smarter than a preschooler? pt 91,4.7M,56.5K,153.5K
funnydoganimal,Happydog #fpy #happydog #dog #doggy #doghigh #tiktokdog #cut #happy,1.4M,19.9K,122.8K
adrienmarquet13,My secret hiding spot ,4M,63.2K,45K
the_mannii,Only Fax  #comedy,620K,7804,16.1K
lexibrookerivera,she was so upset hahaha,792.5K,2649,1310
thep00lguy,#thep00lguy #hollayaboy #satisfying #asmr #poolchemicals #fyp,4M,26K,7663
lifeofbeckham,Beck spitting  #bustarhymes #lookatmenow #chrisbrown #fyp #baby #chaingang,3M,36.7K,567.7K
thesalguerofam,This was highly requested! Chef fresh does it again #watermelon #fyp #challangeaccepted,2.6M,6406,7704
alex.stemp,This is what true love looks like #love #photography #foryou behind the scenes by @jakeceja,19.9K,201,40
kristens.pups,Wtf!  #meltdown #funny #rescuedog #pit #fyp,900.3K,18.6K,193.1K
dracoraedamelio,WHY HE SOUND LIKE THAT,5.1M,83.2K,665.9K
majorkeylife,I SWEAR THEY ACT LIKE THEY GOT SHOT FOR REAL,4.6M,40.1K,154.5K
onelifekg,Bro....  #fy #TrainedDog #bostonterriersoftiktok #fyp,685.3K,12.2K,104.8K
